HCPCS_Cd,HCPCS_Desc,Provider_Count,Service_Records,Total_Beneficiaries,Total_Services,Avg_Medicare_Payment,Avg_Submitted_Charge,Avg_Allowed_Amount
43237,"Ultrasound exam of esophagus, stomach, and/or upper small bowel using a flexible endoscope through mouth",8,8,217,220,146.90525499625,1155.8371442675,190.7556404725
0002A,"Intramuscular administration of single severe acute respiratory syndrome coronavirus 2 (covid-19) vaccine, mrna-lnp, spike protein, preservative free, 30 mcg/0.3ml dosage, diluent reconstituted; second dose",6,6,220,220,39.765589977333335,66.66666666666667,39.765589977333335
86157,Measurement of cold agglutinin (protein) to detect infection or disease,3,3,168,220,7.925246624533333,77.62849382733333,7.925246624533333
88314,Special stained specimen slides to examine tissue and frozen preparation of specimen including interpretation and report,2,2,51,220,50.908926092,133.0337423445,63.603250306999996
71110,"X-ray of ribs on both sides of body, 3 views",4,4,157,219,23.7514682825,95.48548858849999,31.89924086625
74250,Single contrast x-ray of small intestine,15,15,218,219,35.381793287533334,175.4026515156,45.145034521266666
21025,Removal of lower jaw bone,3,3,168,219,365.67423235666666,1347.5650943333333,458.5238280266667
15220,"Full thickness skin graft to scalp, arms, or legs, 20.0 sq cm or less",10,10,210,218,583.944310249,1798.50183708,735.280532905
87511,"Detection test for gardnerella vaginalis (bacteria), amplified probe technique",4,4,197,217,34.614200957,73.9923404255,34.614200957
11440,"Removal of noncancer skin growth of face, ears, eyelids, nose, lips, or mouth, 0.5 cm or less",10,10,190,217,89.7844385355,309.637702363,123.27522273029999
33418,"Repair of mitral valve through the skin, initial prosthesis",11,11,212,216,1230.6581706554546,5871.276691190909,1540.9083947009092
93456,Insertion of tube in right heart chambers and coronary artery for diagnosis with review by radiologist,13,13,214,216,233.26572228076924,1538.0854858307694,296.3198961476923
49450,Replacement of stomach or large bowel tube using fluoroscopic guidance with contrast,9,9,162,215,162.1091692778889,652.9420202022222,205.93696521366667
54235,Injection procedure to cause erection,11,11,196,214,56.862815161181814,259.0192675418182,78.58708293318182
A4565,Slings,9,9,210,214,7.090006672166667,22.582199338888888,9.273099188033335
67924,Extensive repair of turning-inward eyelid defect,11,11,199,213,499.53109358272724,2876.6354401545454,630.4902608336364
94680,Test to measure exhaled air for evaluation of lung function during rest and exercise,1,1,209,213,39.551690141,100.0,51.506948357
77011,Ct guidance for needle or tube localization,4,4,213,213,100.92179524525,411.0,127.51351399525001
J1250,"Injection, dobutamine hydrochloride, per 250 mg",7,7,208,212,5.075164866157143,58.91078141771428,6.355420259271428
86226,"Measurement of dna antibody, single stranded",4,4,192,212,11.8998718005,44.2875,11.8998718005
G2010,"Remote evaluation of recorded video and/or images submitted by an established patient (e.g., store and forward), including interpretation with follow-up with the patient within 24 business hours, not originating from a related e/m service provided within t",4,4,156,211,9.448432620875,40.0,12.76746021425
38724,"Removal of lymph nodes, muscle, and tissue of neck",11,11,208,211,929.2261282518182,5113.355741372728,1163.8244431790908
52214,"Destruction of tissue of bladder, urethra, or surrounding glands using an endoscope",4,4,188,211,551.431275,2657.75,697.2640008625
22513,Treatment of broken middle spine bone with placement of stabilizing device using imaging guidance,11,11,202,210,1170.5590433745454,8698.445309990908,1468.20300625
87220,Tissue fungi or parasites,8,8,202,210,4.1472566882625,31.20928571425,4.1472566882625
G0246,"Follow-up physician evaluation and management of a diabetic patient with diabetic sensory neuropathy resulting in a loss of protective sensation (lops) to include at least the following: (1) a patient history, (2) a physical examination that includes: (a)",4,4,148,210,23.43322382375,69.47086956525,32.49282942975
A9561,"Technetium tc-99m oxidronate, diagnostic, per study dose, up to 30 millicuries",7,7,202,210,40.50295183157142,271.8891428571429,50.90876388614286
57425,Surgical repair of vaginal defect using an endoscope,12,12,208,209,637.4512028719167,3174.494075633333,802.80134431
51725,Simple measurement of pressure of urine flow in bladder,8,8,206,209,136.739103752,547.3720454545,182.537005407125
71555,Mri scan of blood vessels of chest,5,5,206,209,152.40161911799999,1289.1609108159998,201.251293887
57288,Creation of sling around urethra in female to control leakage,11,11,206,208,623.6628015127272,5499.3610267545455,783.2430144460909
77318,Complex radiation therapy planning for delivery of internal radiation,5,5,153,207,337.013143296,1860.54164706,422.60337033400003
0054T,"Computer-assisted, fluoroscopic image-guided musculoskeletal surgical navigational orthopedic operation",7,7,205,207,131.1022040197143,636.4,164.19720401985714
51736,Simple timed assessment of bladder emptying,6,6,192,206,6.53310535695,87.57312159716666,8.400149712333333
84410,Testosterone level,1,1,180,204,49.880294118,540.0,49.880294118
61782,Computer-assisted procedure outside membrane covering brain,11,11,201,204,140.71333610545454,1522.0635936645456,175.55312440818182
49440,Insertion of stomach tube using fluoroscopic guidance with contrast,11,11,202,204,152.87031909909092,1351.8790541781818,191.62740048454543
57150,Irrigation of vagina and/or application of drug to treat infection,4,4,128,203,32.63528347975,118.59427083325,47.2494526245
97605,"Therapy procedure using a special bandage and vacuum pump, surface area 50.0 sq cm or less",5,5,91,203,19.3761528454,205.16364569879997,24.4461203252
90715,"Diphtheria, tetanus, and acellular pertussis vaccine (7 years or older)",11,11,203,203,25.68908832936364,70.45469696963636,36.032164977
36906,Removal and/or dissolving of blood clot in hemodialysis circuit and balloon dilation of dialysis segment and placement of stent with review by radiologist,10,10,175,202,4653.7525273599995,16109.759000689999,5838.540355207
43226,Dilation of esophagus with insertion of guide wire using a flexible endoscope,1,1,190,201,49.30960199,755.16,63.30721393
30520,Reshaping of nasal cartilage,12,12,201,201,501.69534713166667,5615.248817505832,629.2358534625
81207,Translocation analysis (bcr/abl1) minor breakpoint,3,3,160,200,142.77541057666667,401.82122685333337,142.77541057666667
64417,Injection of anesthetic agent and/or steroid into upper arm and shoulder nerve,6,6,141,200,81.80362380999999,866.2866666666667,108.120169697
82390,Ceruloplasmin (protein) level,5,5,187,199,10.4994778346,79.636,10.4994778346
23350,Injection of contrast for imaging of shoulder joint,10,10,170,199,102.81789983450001,533.136950462,131.031739087
67966,Removal of over 1/4 of eyelid margin and repair of eyelid,8,8,187,198,521.3301852,1698.589964825,661.97767614125
96521,Refilling and maintenance of portable pump,2,2,73,198,100.365454545,479.93181818,125.870454545
A9526,"Nitrogen n-13 ammonia, diagnostic, per study dose, up to 40 millicuries",2,2,99,198,541.393598615,1710.0,678.179003365
22634,Fusion of additional segment of spine with partial removal of spine bone and disc,9,9,134,198,226.49349853511114,1116.4566459577777,283.01507140244445
86021,Antibody identification test for white blood cell antibodies,2,2,198,198,14.843736559,30.0541666665,14.843736559
87496,"Detection test by nucleic acid for cytomegalovirus (cmv), amplified probe technique",5,5,147,196,34.8727423296,130.23561290319998,34.8727423296
01930,Anesthesia for other x-ray on vein or lymph system,7,7,169,196,154.23660270428573,1844.324964447143,193.44184360857142
62264,"Removal of spinal canal scar tissue, multiple sessions in 1 day",4,4,153,196,288.198096535,2708.25,365.6063080275
93319,3d ultrasound imaging of heart for evaluation of heart structure performed during ultrasound imaging of congenital heart defects,6,6,189,195,20.694231729,174.66666666666666,25.8479780155
66030,Injection of medication into eye,6,6,125,195,242.50288939666666,858.5678571433333,310.35454529
64646,"Injection of chemical for paralysis of nerve muscles on trunk, 1-5 muscles",3,3,75,195,82.720500991,217.52232143,110.87618201566666
62270,Removal of cerebrospinal fluid with lower back spinal tap for diagnostic test,9,9,181,195,64.93735878466667,588.0289855077777,84.52331563033334
20931,Graft of donor bone to spine,9,9,193,195,88.873343788,653.9722222222222,111.19839429244445
86790,Analysis for antibody to virus,4,4,165,195,12.71230603475,117.3656302675,12.71230603475
37224,Balloon dilation of artery of leg,11,11,177,194,384.75073196,5046.729003345455,481.93042801636363
64416,Injection of anesthetic agent by continuous infusion and/or steroid into arm nerve bundle,11,11,192,193,50.626992291818176,2204.9914772727275,63.63965268072727
66180,Creation of shunt to improve eye fluid flow using tissue graft,10,10,184,193,1295.80014866,3611.46983194,1625.0171692899999
80189,Measurement of itraconazole,2,2,82,193,26.62580879,198.295,26.62580879
G0400,"Home sleep test (hst) with type iv portable monitor, unattended; minimum of 3 channels",5,5,183,193,51.7437099378,484.23655836999995,69.0351902692
82626,Dehydroepiandrosterone (dhea) hormone level,2,2,131,192,24.9338743315,51.595,24.9338743315
96409,Administration of chemotherapy into vein using push technique,8,8,102,192,77.512760068875,354.125,99.374101310375
63655,Removal of spine bone for insertion of neurostimulator electrode plate in spine,12,12,191,191,3518.422610462583,13776.687989525,4411.954804195167
99446,"Telephone or internet assessment with verbal and written report by consulting physician, 5-10 minutes",5,5,151,191,15.0862177126,76.052631579,19.6294654932
81525,Gene analysis (colon related cancer),1,1,191,191,3079.4563351,4420.0,3079.4563351
93287,"Programming of single, dual or multiple lead implantable defibrillator system before or after surgery",6,6,110,191,18.145088535166668,129.32670940166668,22.709406716999997
13133,"Complicated repair of wound of forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, or feet, each additional 5.0 cm or less",6,6,162,190,119.72163001666667,394.84833333333336,149.64217234499998
87625,"Detection test by nucleic acid for human papillomavirus (hpv), types 16 and 18 only",5,5,171,190,39.972045427,162.31136363599998,39.972045427
87906,"Analysis test by nucleic acid for hiv-1 virus, other region",2,2,167,190,127.192965225,513.163459805,127.192965225
28270,Incision of joint capsule of foot and toe,6,6,129,189,250.83073401166666,1122.5533584633333,319.9265302283333
25609,Treatment of 3 or more broken lower forearm bone pieces on thumb side inside wrist joint with placement of stabilizing device,13,13,188,189,1423.5731942407692,6266.550112969231,1787.278025333077
96156,Assessment of health behavior,8,8,174,188,69.63754632724999,240.00816095625,90.432204276625
38570,Biopsy and removal of lymph nodes of abdominal cavity using an endoscope,12,12,188,188,157.8140593595,2130.458642345833,198.72487593016663
43762,Replacement of stomach stoma tube,5,5,138,187,165.8666626626,453.48199999999997,207.7071008886
86695,"Analysis for antibody to herpes simplex virus, type 1",6,6,173,187,13.011889109333334,50.39501587316667,13.011889109333334
92287,Imaging of front third of eye using a special camera after injection of a dye,2,2,140,187,150.57884674500002,390.0,190.50161733
95991,Maintenance of spinal canal or brain drug infusion pump by health care professional,2,2,44,187,78.41733914049999,497.0,105.330610915
G0405,"Electrocardiogram, routine ecg with 12 leads; interpretation and report only, performed as a screening for the initial preventive physical examination",9,9,186,186,3.5815020495999996,35.595959596,8.112202121988888
11303,"Shaving of skin growth of body, arms, or legs, more than 2.0 cm",8,8,158,186,105.7793363345,252.83404551625,139.3324487375
78608,Nuclear medicine study of brain with metabolic evaluation,5,5,186,186,1094.1344675746,3983.6,1376.4707440946
00210,Anesthesia for other procedure on brain,12,12,181,184,437.2996603925,4544.033394391667,549.5101130233334
Q0222,"Injection, bebtelovimab, 175 mg",10,10,183,183,392.88177088369997,912.362520237,392.88177088369997
77432,Management of complete single session course of cranial lesion surgery using radiation,9,9,176,183,347.1664252722222,1956.3301587333335,435.3290653022222
52224,"Destruction of growth of bladder and urethra using an endoscope, less than 0.5 cm",9,9,149,183,413.12631025666667,2259.2,523.0533606433332
75630,Review by radiologist of abdominal aorta and both leg arteries image,9,9,167,182,88.66558533411111,467.61276589444446,111.05659543433333
A9541,"Technetium tc-99m sulfur colloid, diagnostic, per study dose, up to 20 millicuries",6,6,172,180,134.8663366315,321.8248617916667,170.78965611533332
17260,"Destruction of cancer skin growth of trunk, arms, or legs, 0.5 cm or less",8,8,148,179,56.283616647125,193.31129261375,73.996088774
61624,Occlusion of central nervous system or spinal cord artery,8,8,149,178,898.3061667950001,5712.4672619625,1124.25816582875
85362,"Coagulation function analysis, agglutination slide, semiquantitative",2,2,132,178,6.7796445221,68.35448717950001,6.7796445221
87206,Special fluorescent and/or acid fast stain for microorganism,4,4,126,178,5.289740772375,50.18579958425,5.289740772375
93455,Insertion of tube in bypass graft for diagnosis with review by radiologist,11,11,173,178,182.60350034818183,1218.9393939363638,229.40715083545456
28232,Incision to lengthen toe tendon,5,5,89,178,214.662414364,1017.067434714,269.19095124
55899,Other procedure on male genital system,6,6,176,178,283.6223916435,3656.8914141166665,356.95853486833335
86305,Analysis of female reproductive genetic marker,2,2,84,178,20.6028115945,282.44769565,20.6028115945
73551,"X-ray of thigh bone, 1 view",5,5,162,178,13.41173494812,64.99776,17.37964573836
36227,Insertion of tube into external neck artery for diagnosis or treatment with review by radiologist,8,8,165,178,140.83858811925,915.584107345,176.16605034375
80201,Topiramate level,2,2,145,178,11.7788663965,118.31923077,11.7788663965
33370,Placement and subsequent removal of device to protect brain from embolism through catheter using imaging guidance,6,6,176,178,105.84474615916668,514.5416666666666,132.38940302
70140,"X-ray of face bones, 1-2 views",3,3,177,177,24.659798611,54.31,31.948986111
26160,Removal of growth of tendon finger or hand,10,10,167,177,351.33563777999996,2689.34554545,446.51249471600005
77261,Simple radiation therapy planning,4,4,162,177,58.40188602575,176.4921052625,74.26408339400001
31295,Dilation of nasal sinus using an endoscope,5,5,176,176,1746.93305156,7390.24704106,2184.7177622
80235,Measurement of lacosamide,3,3,118,175,26.570080883,207.67047197666668,26.570080883
11980,Placement of hormone pellet under skin,5,5,86,175,63.2463405042,287.446,87.0705332446
50081,"Removal or crushing kidney stone or insertion of kidney stent using an endoscope, more than 2.0 cm",2,2,154,175,2107.0551382,8692.5,2630.2495785
37243,Occlusion of growths or obstructed vessels with review by radiologist,8,8,144,175,442.77471776,20102.013263875,556.78642294625
99494,"Psychiatric collaborative care management per calendar month, each additional 30 minutes",4,4,75,174,41.87450448075,110.7127985075,53.31149060875
92555,Test for ability to detect and repeat spoken words,3,3,173,174,18.073823368333333,47.460914454333334,26.251033535333335
85307,Activated protein resistance assay,2,2,169,173,15.1266877365,145.58743242999998,15.1266877365
36005,Injection for x-ray imaging procedure into vein of arm or leg,8,8,155,172,43.838401487625,551.267752525,54.375113904875
98980,"Remote therapeutic monitoring treatment management services by physician or other qualified health care professional, first 20 minutes per calendar month",4,4,111,172,41.42601018675,154.84,52.798552985499995
J3315,"Injection, triptorelin pamoate, 3.75 mg",2,2,25,172,274.56656700999997,860.265,347.19388179
42975,Evaluation of sleep-disordered breathing by examination of upper airway using an endoscope,9,9,172,172,71.58663801633332,1441.939735448889,93.17034682633333
Q4022,"Cast supplies, short arm splint, adult (11 years +), fiberglass",11,11,154,172,10.209622533072727,47.09090909090909,13.125920053727272
93986,Complete ultrasound of artery and vein blood flow pre-op assessment on side of body for hemodialysis access,8,8,168,171,99.84875620375,390.3543083,132.357290441375
91309,Sarscov2 vac 50mcg/0.5ml im,5,5,171,171,0.01,0.01,0.01
49424,Injection of contrast through abdominal cavity tube for x-ray study,9,9,129,171,26.464085951444446,327.06138689,33.98927757566667
99416,"Extended office or other outpatient service by clinical staff, each additional 30 minutes",1,1,19,170,5.0338235294,100.0,6.3038235294
77003,Fluoroscopic guidance for spine or back muscle injection,8,8,160,170,38.461632483,200.4375,48.557755478749996
94621,Test for exercise-induced heart and lung stress,6,6,156,170,94.97684928950001,240.41519607833334,124.12772735316666
64632,Destruction of foot nerve,3,3,86,169,67.08353665166668,132.80837119333333,88.83166230033333
29240,Placement of strapping to shoulder,3,3,41,169,23.665444373,54.24827586199999,30.250958513666664
83630,Stool lactoferrin (immune system protein) analysis,4,4,164,169,19.34618361925,85.24441176475,19.34618361925
J7644,"Ipratropium bromide, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per milligram",3,3,80,168,0.13938108593333334,5.433387270866667,0.19974829196666666
98966,"Telephone medical discussion provided by nonphysician professional, 5-10 minutes",4,4,73,168,8.169323297625,41.745923077,10.877624527125
36903,Insertion of needle and/or tube into hemodialysis circuit and insertion of stent in dialysis segment with review by radiologist,5,5,160,168,2669.795107404,10637.6,3342.4082851840003
27487,Revision of thigh and lower leg bone components of total knee joint prosthesis,11,11,157,167,842.783973789091,6097.411746163635,1058.847325689091
22843,"Placement of stabilizing device to back, 7-12 spine bone segments",8,8,166,167,527.740468799125,3086.79094077125,659.76354077
58558,Biopsy of lining of uterus and/or removal of polyp using an endoscope,11,11,165,167,740.2779071863637,4959.811388981819,936.5693386627273
25600,Closed treatment of broken forearm (radius) bone at the wrist area on the thumb side of the wrist without manipulation,11,11,166,167,266.2900771327273,1104.2807486636364,347.9940998890909
12001,"Simple repair of surface wound of scalp, neck, underarms, trunk, arms, or legs, 2.5 cm or less",12,12,161,166,41.309783240583336,377.05958892333337,54.906882220916664
86337,Insulin antibody measurement,1,1,163,166,21.129879518,215.98,21.129879518
67113,Complex repair of detached retina and drainage of eye fluid between lens and retina,6,6,131,166,1035.14473028,4698.75,1307.5870345283333
76080,Review by radiologist of abscess or sinus cavity study,4,4,106,165,19.2619074105,114.585714285,24.83593024425
0031A,"Intramuscular administration of single severe acute respiratory syndrome coronavirus 2 (covid-19) vaccine, dna, spike protein, adenovirus type 26 (ad26) vector, preservative free, 5x1010 viral particles/0.5ml dosage, single dose",6,6,163,165,38.71594815316667,53.53267195766667,38.71594815316667
68200,Injection into conjunctiva,4,4,80,165,25.401618254,381.25,33.869498631249996
77333,Design and construction of intermediate radiation treatment device,5,5,153,164,54.4687144322,262.14468013199996,68.3283120358
00160,Anesthesia for other procedure on nose and sinuses,9,9,163,164,145.4465028337778,2392.761685917778,182.03629663655556
45331,Biopsy of lower large bowel using a flexible endoscope,9,9,160,164,154.51684877344442,966.5208760744445,197.9417889968889
93241,"Heart rhythm recording, analysis, report, review, and interpretation of continous external ekg over more than 48 hours up to 7 days",9,9,158,163,174.19593005,486.92489958444446,226.33994102111112
J1720,"Injection, hydrocortisone sodium succinate, up to 100 mg",4,4,88,163,12.544456728,78.3325,16.01978330325
93613,Insertion of tube for 3d mapping of electrical impulses to heart muscle,8,8,160,162,244.05834970125,816.85982142875,304.86189136875
92979,"Ultrasound evaluation of heart blood vessel or graft with review by radiologist, each additional vessel",7,7,141,162,62.00213684242857,205.42499999999998,77.53939378685713
84135,Pregnanediol (reproductive hormone) level,2,2,140,162,17.789360338,21.57,17.789360338
Q0220,"Injection, tixagevimab and cilgavimab, for the pre-exposure prophylaxis only, for certain adults and pediatric individuals (12 years of age and older weighing at least 40kg) with no known sars-cov-2 exposure, who either have moderate to severely compromise",5,5,137,161,0.009966666660000002,0.01,0.009966666660000002
28308,Incision or partial removal of foot bone (other than big toe) to straighten toe,6,6,112,161,440.9967817683333,3569.3956397833335,554.081344495
99447,"Telephone or internet assessment with verbal and written report by consulting physician, 11-20 minutes",6,6,153,161,28.587231489,125.91666666666667,37.89944422
64708,Release of arm or leg nerve,2,2,114,160,212.02122093,807.4082558150001,266.42232558
86352,Analysis of cell function and analysis for genetic marker,2,2,147,160,134.20001593,269.26492753499997,134.20001593
90947,Dialysis procedure requiring repeat evaluation,1,1,48,160,108.1794375,620.0,134.9594375
11740,Removal of blood accumulation under fingernail or toenail,4,4,129,160,36.32733718125,101.42477593000001,45.7419028425
00144,Anesthesia for procedure on eye for corneal transplant,10,10,154,159,101.6630614115,1043.955686819,132.01022266759998
23412,Repair of chronic torn shoulder rotator cuff,9,9,157,159,1106.9052184255556,9799.068718,1389.6738255811113
85008,Microscopic examination for white blood cells,1,1,137,158,3.3944303797,12.005443038,3.3944303797
33430,Replacement of mitral valve on heart-lung machine,7,7,153,158,1842.3924857557142,8969.577260342858,2310.21627983
30117,Removal or destruction of growth of nose through nose,4,4,79,157,528.4572027975,2072.425190225,662.6611488325
43281,Repair of hernia of muscle at esophagus and stomach using an endoscope,9,9,156,157,879.6197297766666,5051.296196397778,1104.2452305
J7060,5% dextrose/water (500 ml = 1 unit),3,3,91,155,1.4000142968000002,144.4017094017,1.7837811965666666
72084,"X-ray of entire middle and lower spine, minimum of 6 views",9,9,153,155,44.13883346377778,230.3567251466667,57.072206724
33519,"Coronary artery bypass using vein or artery graft, 3 grafts",10,10,155,155,345.4492243234,1609.778484853,431.8532232975
55876,Placement of device in prostate for radiation therapy,10,10,154,155,68.75066549179999,558.723,87.54345845399999
00830,Anesthesia for other repair of lower abdomen hernia (1 year or older),10,10,153,154,107.1876172837,1437.580772345,135.0752549261
62284,Injection of contrast for imaging of lower spinal canal,10,10,149,154,85.9293780071,754.5,112.53214140330002
72200,"X-ray of joint between lower spine and hip bone, 1-2 views",5,5,142,154,16.98823384788,62.980399999999996,21.6237390051
P9612,"Catheterization for collection of specimen, single patient, all places of service",9,9,139,154,2.9463157867333334,10.229726458488889,2.9463157867333334
31653,"Exam of lung airways and sampling of lymph nodes using an endoscope and ultrasound guidance, 3 or more lymph nodes",8,8,152,154,171.60397854,2887.0786564625,224.6754644075
G0143,"Screening cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation, with manual screening and rescreening by cytotechnologist under physician supervision",1,1,153,153,26.716470588,90.0,26.716470588
46930,Destruction of internal hemorrhoids using heat,2,2,95,153,108.5121479965,675.0,152.306418293
85385,Fibrinogen (factor 1) antigen detection,1,1,133,153,14.279411765,52.0,14.279411765
87497,"Detection test by nucleic acid for cytomegalovirus, quantification",1,1,50,152,42.090789474,223.36644737,42.090789474
99452,"Telephone or internet referral service, 30 minutes",4,4,111,152,29.91834166675,89.0208,37.671675
86777,Analysis for antibody to toxoplasma (parasite),2,2,148,151,14.2237246155,108.50653846,14.2237246155
92627,"Evaluation of hearing function related to surgically implanted hearing device, each additional 15 minutes",4,4,56,150,13.757215559,68.0,20.47231779975
